date,COD_mod
2025-05-20,964
2025-05-20,965
2025-05-20,966
2025-05-20,967
2025-05-20,968
2025-05-20,969
2025-05-20,970
2025-05-20,971
2025-05-20,972
2025-05-20,973
2025-05-20,974
2025-05-20,975
2025-05-20,976
2025-05-20,977
2025-05-20,978
2025-05-20,979
2025-05-20,980
2025-05-20,982
2025-05-20,983
2025-05-20,984
2025-05-20,1738
2025-05-20,1739
2025-05-20,1740
2025-05-20,1741
2025-05-20,1742
2025-05-20,1743
2025-05-20,1744
2025-05-20,1745
2025-05-20,1746
2025-05-20,1747
2025-05-20,1748
2025-05-20,1749
2025-05-20,1750
2025-05-20,1751
2025-05-20,1752
2025-05-20,1754
2025-05-20,1755
2025-05-20,1756
2025-05-20,1757
2025-05-20,1758
2025-05-20,1759
2025-05-20,1760
2025-05-20,1761
2025-05-20,1762
2025-05-20,1763
2025-05-20,1764
2025-05-20,1765
2025-05-20,1766
2025-05-20,1767
2025-05-20,1768
2025-05-20,1769
2025-05-20,1770
2025-05-20,1771
2025-05-20,1772
2025-05-20,1774
2025-05-20,1775
2025-05-20,1776
2025-05-20,1777
2025-05-20,1778
2025-05-20,1782
2025-05-20,1784
2025-05-20,1785
2025-05-20,1786
2025-05-20,1787
2025-05-20,1788
2025-05-20,1789
2025-05-20,1790
2025-05-20,1791
2025-05-20,1792
2025-05-20,1796
2025-05-20,1806
2025-05-20,1807
2025-05-20,1809
2025-05-20,1810
2025-05-20,1811
2025-05-20,1812
2025-05-20,1813
2025-05-20,1814
2025-05-20,1815
2025-05-20,1816
2025-05-20,1817
2025-05-21,961
2025-05-21,962
2025-05-21,963
2025-05-21,964
2025-05-21,965
2025-05-21,966
2025-05-21,967
2025-05-21,968
2025-05-21,969
2025-05-21,970
2025-05-21,971
2025-05-21,972
2025-05-21,973
2025-05-21,974
2025-05-21,975
2025-05-21,976
2025-05-21,977
2025-05-21,978
2025-05-21,979
2025-05-21,980
2025-05-21,982
2025-05-21,983
2025-05-21,984
2025-05-21,1738
2025-05-21,1739
2025-05-21,1754
2025-05-21,1764
2025-05-21,1765
2025-05-21,1766
2025-05-21,1767
2025-05-21,1710
2025-05-21,1771
2025-05-21,1772
2025-05-21,1774
2025-05-21,1782
2025-05-21,1784
2025-05-21,1785
2025-05-21,1786
2025-05-21,1787
2025-05-21,1788
2025-05-21,1789
2025-05-21,1790
2025-05-21,1791
2025-05-21,1792
2025-05-21,1806
2025-05-21,1808
2025-05-21,1809
2025-05-21,1810
2025-05-21,1811
2025-05-21,1812
2025-05-21,1813
2025-05-21,1814
2025-05-21,1815
2025-05-21,1816
2025-05-21,1817
2025-05-22,607
2025-05-22,608
2025-05-22,617
2025-05-26,1
2025-05-26,2
2025-05-26,3
2025-05-26,4
2025-05-26,5
2025-05-26,6
2025-05-26,7
2025-05-26,8
2025-05-26,9
2025-05-26,10
2025-05-26,11
2025-05-26,12
2025-05-26,13
2025-05-26,14
2025-05-26,15
2025-05-26,16
2025-05-26,17
2025-05-26,18
2025-05-26,19
2025-05-26,20
2025-05-26,21
2025-05-26,22
2025-05-26,23
2025-05-26,24
2025-05-26,25
2025-05-26,26
2025-05-26,27
2025-05-26,28
2025-05-26,29
2025-05-26,30
2025-05-26,31
2025-05-26,32
2025-05-26,33
2025-05-26,34
2025-05-26,35
2025-05-26,36
2025-05-26,37
2025-05-26,38
2025-05-26,39
2025-05-26,40
2025-05-26,41
2025-05-26,42
2025-05-26,43
2025-05-26,44
2025-05-26,45
2025-05-26,46
2025-05-26,47
2025-05-26,48
2025-05-26,49
2025-05-26,50
2025-05-26,51
2025-05-26,52
2025-05-26,53
2025-05-26,54
2025-05-26,55
2025-05-26,56
2025-05-26,57
2025-05-26,58
2025-05-26,59
2025-05-26,60
2025-05-26,61
2025-05-26,62
2025-05-26,63
2025-05-26,64
2025-05-26,65
2025-05-26,66
2025-05-26,67
2025-05-26,68
2025-05-26,69
2025-05-26,70
2025-05-26,71
2025-05-26,72
2025-05-26,73
2025-05-26,74
2025-05-26,75
2025-05-26,76
2025-05-26,77
2025-05-26,78
2025-05-26,79
2025-05-26,80
2025-05-26,81
2025-05-26,82
2025-05-26,83
2025-05-26,84
2025-05-26,85
2025-05-26,86
2025-05-26,87
2025-05-26,99
2025-05-26,100
2025-05-26,101
2025-05-26,102
2025-05-26,103
2025-05-26,104
2025-05-26,105
2025-05-26,106
2025-05-26,114
2025-05-26,115
2025-05-26,116
2025-05-26,117
2025-05-26,118
2025-05-26,121
2025-05-26,122
2025-05-26,123
2025-05-26,124
2025-05-26,125
2025-05-26,126
2025-05-26,127
2025-05-26,131
2025-05-26,212
2025-05-26,213
2025-05-26,214
2025-05-26,215
2025-05-26,216
2025-05-26,217
2025-05-26,218
2025-05-26,219
2025-05-26,220
2025-05-26,221
2025-05-26,222
2025-05-26,223
2025-05-26,224
2025-05-26,225
2025-05-26,231
2025-05-26,232
2025-05-26,233
2025-05-26,234
2025-05-26,235
2025-05-26,236
2025-05-26,237
2025-05-26,238
2025-05-26,239
2025-05-26,240
2025-05-26,241
2025-05-26,242
2025-05-26,243
2025-05-26,244
2025-05-26,245
2025-05-26,246
2025-05-26,247
2025-05-26,248
2025-05-26,249
2025-05-26,250
2025-05-26,251
2025-05-26,252
2025-05-26,253
2025-05-26,254
2025-05-26,255
2025-05-26,256
2025-05-26,260
2025-05-26,270
2025-05-26,2250
2025-05-26,2260
2025-05-26,2270
2025-05-26,2280
2025-05-26,2352
2025-05-26,2353
2025-05-26,2354
2025-05-26,2355
2025-05-26,2358
2025-05-26,2359
2025-05-26,2360
2025-05-26,2361
2025-05-26,2362
2025-05-26,2363
2025-05-26,2364
2025-05-26,2365
2025-05-26,2366
2025-05-26,2367
2025-05-26,2368
2025-05-26,2369
2025-05-26,2370
2025-05-26,2371
2025-05-26,2372
2025-05-26,2373
2025-05-26,2374
2025-05-26,2375
2025-05-26,2376
2025-05-26,3261
2025-05-30,321
2025-05-30,568
2025-05-30,569
2025-05-30,570
2025-05-30,571
2025-05-30,572
2025-05-30,573
2025-05-30,574
2025-05-30,575
2025-05-30,576
2025-05-30,577
2025-05-30,578
2025-05-30,579
2025-05-30,580
2025-05-30,581
2025-05-30,582
2025-05-30,583
2025-05-30,584
2025-05-30,585
2025-05-30,586
2025-05-30,587
2025-05-30,589
2025-05-30,590
2025-05-30,604
2025-05-30,605
2025-05-30,606
2025-05-30,607
2025-05-30,608
2025-05-30,609
2025-05-30,610
2025-05-30,612
2025-05-30,613
2025-05-30,614
2025-05-30,615
2025-05-30,616
2025-05-30,617
2025-05-30,618
2025-05-30,619
2025-05-30,620
2025-05-30,622
2025-05-30,623
2025-05-30,624
2025-05-30,625
2025-05-30,626
2025-05-30,627
2025-05-30,628
2025-05-30,629
2025-05-30,630
2025-05-30,631
2025-05-30,632
2025-05-30,633
2025-05-30,634
2025-05-30,635
2025-05-30,636
2025-05-30,637
2025-05-30,638
2025-05-30,639
2025-05-30,641
2025-05-30,646
2025-05-30,647
2025-05-30,648
2025-05-30,649
